"field_id","capture_site","landscape","MamDiv","MamHill","MicDiv","Dim.1scaled","Dim.2scaled","parShnEx","habitat.size.tabellor","canopy_cover_perc","canopy_height_m","understorey_density_perc","GenDiv"
"436","AS5","forest.fragment",1.56653041142282,4.667,0.851,0.225897904680669,-1.34173125169885,1,33.1,77,16,54,0.663
"447","AS5","forest.fragment",1.56653041142282,4.667,0.827,0.225897904680669,-1.34173125169885,1,33.1,77,16,54,0.672
"455","AR1","forest.fragment",0.99694863489161,1.796,0.819,2.07360258279465,-1.64869471617898,1.36956367167207,142,94,19,60,0.654
"456","AR1","forest.fragment",0.99694863489161,1.796,0.87,2.07360258279465,-1.64869471617898,1,142,94,19,60,0.581
"468","AR1","forest.fragment",0.99694863489161,1.796,0.796,2.07360258279465,-1.64869471617898,1,142,94,19,60,0.824
"469","AR1","forest.fragment",0.99694863489161,1.796,0.831,2.07360258279465,-1.64869471617898,1.23931543072907,142,94,19,60,0.933
"476","AR1","forest.fragment",0.99694863489161,1.796,0.803,2.07360258279465,-1.64869471617898,2.27950705695478,142,94,19,60,0.847
"490","AR1","forest.fragment",0.99694863489161,1.796,0.718,2.07360258279465,-1.64869471617898,1.75476535060332,142,94,19,60,0.958
"493","AR1","forest.fragment",0.99694863489161,1.796,0.825,2.07360258279465,-1.64869471617898,1.1770645027989,142,94,19,60,0.92
"495","AR1","forest.fragment",0.99694863489161,1.796,0.816,2.07360258279465,-1.64869471617898,1,142,94,19,60,0.901
"501","AR1","forest.fragment",0.99694863489161,1.796,0.741,2.07360258279465,-1.64869471617898,1,142,94,19,60,0.856
"505","AR1","forest.fragment",0.99694863489161,1.796,0.802,2.07360258279465,-1.64869471617898,1.97962633005252,142,94,19,60,0.909
"531","PH","island",0.3293037471426,1.171,0.769,-1.54776712978603,-0.0687711514832324,1.77207838677314,9.1,82,13,31,0.842
"548","PH","island",0.3293037471426,1.171,0.779,-1.54776712978603,-0.0687711514832324,1,9.1,82,13,31,0.913
"558","PH","island",0.3293037471426,1.171,0.823,-1.54776712978603,-0.0687711514832324,1,9.1,82,13,31,0.739
